iter	Passed	Remaining
416	3703	737
417	3712	728
418	3720	719
419	3727	710
420	3736	701
421	3745	692
422	3754	683
423	3763	674
424	3772	665
425	3780	656
426	3788	647
427	3798	638
428	3807	630
429	3815	621
430	3824	612
431	3833	603
432	3842	594
433	3850	585
434	3860	576
435	3869	567
436	3877	558
437	3885	550
438	3894	541
439	3904	532
440	3913	523
441	3920	514
442	3929	505
443	3938	496
444	3947	487
445	3955	478
446	3964	470
447	3972	461
448	3981	452
449	3990	443
450	3998	434
451	4006	425
452	4014	416
453	4024	407
454	4033	398
455	4042	390
456	4052	381
457	4061	372
458	4071	363
459	4080	354
460	4089	345
461	4097	337
462	4105	328
463	4113	319
464	4122	310
465	4131	301
466	4141	292
467	4151	283
468	4160	274
469	4168	266
470	4178	257
471	4188	248
472	4197	239
473	4205	230
474	4214	221
475	4223	212
476	4232	204
477	4239	195
478	4248	186
479	4257	177
480	4267	168
481	4276	159
482	4285	150
483	4293	141
484	4303	133
485	4323	124
486	4332	115
487	4340	106
488	4349	97
489	4358	88
490	4367	80
491	4374	71
492	4384	62
493	4392	53
494	4401	44
495	4410	35
496	4417	26
497	4425	17
498	4435	8
499	4443	0
