iter	Logloss
334	0.4972206594
335	0.4971924841
336	0.4971684094
337	0.4971504411
338	0.4971207095
339	0.4970984451
340	0.4970752561
341	0.4970500144
342	0.4970238707
343	0.4969914764
344	0.4969550443
345	0.4969397532
346	0.4969123943
347	0.4968870176
348	0.4968652322
349	0.4968392822
350	0.4968153773
351	0.4967907539
352	0.4967670674
353	0.4967478174
354	0.4967241176
355	0.496702121
356	0.4966723575
357	0.4966564248
358	0.4966288841
359	0.4966035944
360	0.4965736107
361	0.4965567826
362	0.4965343305
363	0.4965128539
364	0.4964915091
365	0.4964687742
366	0.4964487905
367	0.4964287961
368	0.4964066288
369	0.4963841758
370	0.4963522229
371	0.4963367072
372	0.4963154638
373	0.4962850304
374	0.4962586327
375	0.4962256085
376	0.4961986057
377	0.4961838628
378	0.4961599827
379	0.496142389
380	0.4961179774
381	0.4960934719
382	0.496069554
383	0.496046175
384	0.4960262013
385	0.4959973554
386	0.4959803496
387	0.4959678947
388	0.4959433816
389	0.4959148162
390	0.4958885918
391	0.4958711701
392	0.4958454525
393	0.4958210511
394	0.4957901543
395	0.4957651716
396	0.4957347683
397	0.4957174119
398	0.4956926523
399	0.4956763772
400	0.4956551778
401	0.4956277447
402	0.4956001878
403	0.4955771157
404	0.4955584403
405	0.4955335415
406	0.4955117449
407	0.4954924051
408	0.4954767313
409	0.4954585879
410	0.4954368765
411	0.4954143894
412	0.4953895689
413	0.4953643996
414	0.4953449301
415	0.4953263159
416	0.4952971021
417	0.4952768128
418	0.4952564723
419	0.4952333777
420	0.4952131503
421	0.4951919743
422	0.4951730287
423	0.4951530343
424	0.4951318129
425	0.4951086244
426	0.4950846955
427	0.4950672521
428	0.4950470871
429	0.4950234717
430	0.4950035112
431	0.4949839788
432	0.4949726308
433	0.49493796
434	0.494913575
435	0.4948954109
436	0.494871286
437	0.4948453558
438	0.4948251674
439	0.4947994406
440	0.4947826791
441	0.4947628994
442	0.494739698
443	0.4947179166
444	0.4946965741
445	0.4946631711
446	0.4946380088
447	0.4946191933
448	0.4945943539
449	0.4945750133
450	0.4945494034
451	0.4945241391
452	0.4945028746
453	0.4944835141
454	0.4944660168
455	0.4944521252
456	0.4944345776
457	0.4944148481
458	0.4944021371
459	0.4943859046
460	0.4943638908
461	0.4943474083
462	0.494321878
463	0.4943022892
464	0.4942829156
465	0.4942656673
466	0.4942529229
467	0.4942341463
468	0.4942153761
469	0.494188851
470	0.4941710546
471	0.4941485306
472	0.4941274019
473	0.4941118061
474	0.4940865028
475	0.4940746938
476	0.4940579827
477	0.494034092
478	0.4940112083
479	0.4939863533
480	0.4939729412
481	0.493950593
482	0.493925794
483	0.4939067106
484	0.4938866503
485	0.4938584816
486	0.4938376109
487	0.493813833
488	0.4937924009
489	0.4937772439
490	0.4937525922
491	0.4937318909
492	0.4937140472
493	0.4936958673
494	0.4936704889
495	0.4936457361
496	0.4936189545
497	0.4935926536
498	0.4935785011
499	0.4935543727
